project,target,configuration,hash,code,status,start,end
product,prisma-migrate,,17352113919185323372,0,success,1727273535056,1727273556586
product,build,production,8934344278212389177,1,failure,1727273559862,1727273563708
product,prisma-migrate,,7576457040934707873,0,success,1727273568590,1727273583946
product,build,production,8934344278212389177,1,failure,1727273586210,1727273587331
product,prisma-migrate,,7576457040934707873,0,success,1727273590715,1727273606162
product,build,production,8934344278212389177,1,failure,1727273608909,1727273610628
product,prisma-migrate,,7576457040934707873,0,success,1727273613750,1727273626170
product,build,production,8934344278212389177,1,failure,1727273628788,1727273630220
product,prisma-migrate,,7576457040934707873,0,success,1727273633387,1727273645492
product,build,production,8934344278212389177,1,failure,1727273647780,1727273649083
product,prisma-migrate,,7576457040934707873,0,success,1727273652294,1727273663232
product,build,production,8934344278212389177,1,failure,1727273665505,1727273666786
product,prisma-migrate,,7576457040934707873,0,success,1727273670289,1727273683269
product,build,production,8934344278212389177,1,failure,1727273686003,1727273687719
product,prisma-migrate,,7576457040934707873,0,success,1727273690853,1727273703043
product,build,production,8934344278212389177,1,failure,1727273705383,1727273706571
product,prisma-migrate,,7576457040934707873,0,success,1727273711679,1727273733574
product,build,production,8934344278212389177,1,failure,1727273738368,1727273740866
product,prisma-migrate,,7576457040934707873,0,success,1727273746667,1727273768078
product,build,production,8934344278212389177,1,failure,1727273773275,1727273777170
product,prisma-migrate,,7576457040934707873,0,success,1727273783671,1727273803266
product,build,production,8934344278212389177,1,failure,1727273808535,1727273811397
product,prisma-migrate,,7576457040934707873,0,success,1727273818005,1727273841871
product,build,production,8934344278212389177,1,failure,1727273847164,1727273861037
product,prisma-migrate,,7576457040934707873,0,success,1727273874189,1727273899101
product,build,production,8934344278212389177,1,failure,1727273903795,1727273906998
product,prisma-migrate,,7576457040934707873,0,success,1727273911687,1727273922823
product,build,production,8934344278212389177,1,failure,1727273926005,1727273928283
product,prisma-migrate,,7576457040934707873,0,success,1727273932454,1727273945812
product,build,production,8934344278212389177,1,failure,1727273948440,1727273949928
product,prisma-migrate,,7576457040934707873,0,success,1727273953294,1727273965109
product,build,production,8934344278212389177,1,failure,1727273967534,1727273968767
product,prisma-migrate,,7576457040934707873,0,success,1727273971840,1727273983322
product,build,production,8934344278212389177,1,failure,1727273985093,1727273986392
product,prisma-migrate,,7576457040934707873,0,success,1727273989812,1727274002441
product,build,production,8934344278212389177,1,failure,1727274005087,1727274006323
product,prisma-migrate,,7576457040934707873,0,success,1727274009535,1727274021221
product,build,production,8934344278212389177,1,failure,1727274023268,1727274024508
product,prisma-migrate,,7576457040934707873,0,success,1727274027503,1727274039704
product,build,production,8934344278212389177,1,failure,1727274041729,1727274043595
product,prisma-migrate,,7576457040934707873,0,success,1727274046709,1727274056644
product,build,production,8934344278212389177,1,failure,1727274058802,1727274060196
product,prisma-migrate,,7576457040934707873,0,success,1727274063528,1727274076174
product,build,production,8934344278212389177,1,failure,1727274078653,1727274079718
product,prisma-migrate,,7576457040934707873,0,success,1727274082737,1727274094355
product,build,production,8934344278212389177,1,failure,1727274097478,1727274098956
product,prisma-migrate,,7576457040934707873,0,success,1727274102019,1727274113696
product,build,production,8934344278212389177,1,failure,1727274116444,1727274118103
product,prisma-migrate,,7576457040934707873,0,success,1727274122915,1727274146539
product,build,production,8934344278212389177,1,failure,1727274151567,1727274155622
product,prisma-migrate,,7576457040934707873,0,success,1727274162719,1727274189523
product,build,production,8934344278212389177,1,failure,1727274194239,1727274198171
product,prisma-migrate,,7576457040934707873,0,success,1727274207184,1727274256047
product,build,production,8934344278212389177,1,failure,1727274262071,1727274263463
product,prisma-migrate,,7576457040934707873,0,success,1727274267237,1727274326860
product,build,production,8934344278212389177,1,failure,1727274355681,1727274368869
product,prisma-migrate,,7576457040934707873,0,success,1727274390866,1727274437818
product,build,production,8934344278212389177,1,failure,1727274441568,1727274443604
